Category,Part,Suggested model,Qty,Required,Notes
Controller,MCU board,Seeed Studio XIAO ESP32-C6,1,Yes,"RISC-V; BLE/Wi-Fi; USB-C; 1-cell battery charge input"
Display,E-paper,Waveshare 4.2inch e-Paper Module V2 B/W,1,Yes,"400x300; SPI; 103.0x78.5 mm module PCB"
Battery,Protected Li-ion cell,Protected 18650 3.7 V 2500-3500 mAh,1,Yes,"Use one protected rechargeable cell only"
Battery holder,Cell holder,Single 18650 holder with JST-PH 2-pin,1,Yes,"Verify polarity before connection"
Switch,Power switch,SPST slide switch rated for battery current,1,Yes,"In series with battery positive lead"
Button,Action input,Momentary normally-open tactile switch,1,Yes,"Refresh and pairing"
Button,Navigation input,Two-way rocker with two normally-open tactile switches,1,Yes,"Previous and next app dashboard"
Interconnect,Display cable,8-pin female jumper or custom harness,1,Yes,"Keep SPI wiring short"
Protection,Resettable fuse,PTC 0.5-1.0 A hold,1,Recommended,"Prototype battery branch protection"
Fasteners,Heat-set inserts,M2 x 3 mm brass inserts,4,Optional,"For repeated enclosure opening"
Fasteners,Screws,M2 x 6 mm machine screws,4,Optional,"Match insert depth"
Enclosure,Filament,PETG or PLA 1.75 mm,1,Yes,"PETG preferred near warmer environments"
Insulation,Cell insulation,Fish-paper ring and insulating sheet,1,Recommended,"Prevent holder or enclosure shorts"
